edge degrees:
id	degree	max	normal
3	2	7	0.57
4	2	7	0.57
7	2	9	0.44
19	2	7	0.57
22	2	9	0.44
25	2	9	0.44
96	1	3	0.67
97	1	4	0.5
111	1	4	0.5
171	0	1	0
220	0	2	0
258	2	4	1
260	2	9	0.44
261	2	4	1
264	2	9	0.44
265	2	4	1
270	2	4	1
279	1	3	0.67
282	1	2	1
333	1	2	1
372	5	12	0.83
374	5	10	1
375	5	10	1
376	5	10	1
377	5	10	1
379	5	13	0.77
391	5	10	1
392	5	10	1
393	5	10	1
394	5	10	1
396	5	13	0.77
405	5	10	1
406	5	10	1
407	5	10	1
409	5	13	0.77
411	5	10	1
412	5	10	1
414	5	13	0.77
416	5	10	1
418	5	13	0.77
421	5	13	0.77
458	0	10	0
462	1	4	0.5
464	1	5	0.4
482	1	5	0.4
595	1	2	1
598	1	10	0.2
619	1	10	0.2
703	2	5	0.8
706	2	6	0.67
710	2	4	1
714	2	6	0.67
718	2	4	1
736	2	4	1
748	2	6	0.67
749	2	10	0.4
750	2	4	1
751	2	10	0.4
752	2	4	1
753	2	4	1
879	1	3	0.67
884	1	2	1
895	1	2	1
947	1	4	0.5
948	1	3	0.67
949	1	3	0.67
954	3	6	1
955	3	6	1
957	3	6	1
958	3	6	1
962	3	6	1
964	3	6	1
965	3	6	1
970	3	6	1
971	3	6	1
977	3	6	1
989	2	7	0.57
990	2	4	1
992	2	6	0.67
996	2	4	1
998	2	6	0.67
1003	2	6	0.67
1386	0	0	1
1435	4	8	1
1438	4	10	0.8
1440	4	12	0.67
1446	4	8	1
1447	4	8	1
1450	4	10	0.8
1452	4	12	0.67
1458	4	8	1
1459	4	8	1
1476	4	12	0.67
1482	4	8	1
1483	4	8	1
1497	4	8	1
1498	4	8	1
1515	4	8	1
1584	0	0	1
1615	1	2	1
1616	1	11	0.18
1619	1	11	0.18
1666	1	8	0.25
1667	1	2	1
1668	1	2	1
1669	2	5	0.8
1671	2	4	1
1672	2	4	1
1674	2	4	1
1675	2	4	1
1678	2	4	1
1713	0	3	0
1728	7	19	0.74
1729	7	15	0.93
1730	7	14	1
1731	7	14	1
1732	7	16	0.88
1733	7	14	1
1734	7	19	0.74
1735	7	17	0.82
1761	7	15	0.93
1762	7	14	1
1763	7	14	1
1764	7	16	0.88
1765	7	14	1
1766	12	24	1
1767	7	17	0.82
1768	7	14	1
1769	7	14	1
1770	7	16	0.88
1771	7	14	1
1772	7	19	0.74
1773	7	17	0.82
1774	7	14	1
1775	7	16	0.88
1776	7	14	1
1777	7	19	0.74
1778	7	17	0.82
1779	7	16	0.88
1780	7	14	1
1781	7	19	0.74
1782	7	17	0.82
1783	7	14	1
1784	7	19	0.74
1785	7	17	0.82
1786	7	19	0.74
1787	7	17	0.82
1788	7	17	0.82
1841	2	5	0.8
1847	2	10	0.4
1848	2	9	0.44
1854	2	10	0.4
1855	2	9	0.44
1871	2	9	0.44
1872	0	7	0
1947	1	5	0.4
1948	1	2	1
1955	1	2	1
2048	0	4	0
2055	5	10	1
2057	5	17	0.59
2058	5	13	0.77
2060	5	10	1
2063	5	10	1
2065	5	17	0.59
2067	5	17	0.59
2068	5	13	0.77
2070	5	10	1
2073	5	10	1
2075	5	17	0.59
2085	5	13	0.77
2087	5	10	1
2090	5	10	1
2093	5	10	1
2096	5	10	1
2098	5	17	0.59
2106	5	10	1
2108	5	17	0.59
2114	5	17	0.59
2165	1	2	1
2166	1	2	1
2170	1	2	1
2233	0	0	1
2310	1	2	1
2311	1	2	1
2312	1	2	1
2316	0	3	0
2415	3	6	1
2418	3	11	0.55
2419	3	6	1
2421	3	6	1
2479	3	11	0.55
2480	3	6	1
2482	3	6	1
2498	3	6	1
2500	3	6	1
2504	3	6	1
2535	2	4	1
2536	2	7	0.57
2538	2	4	1
2541	2	7	0.57
2543	2	4	1
2546	2	4	1
2575	0	0	1
2608	3	10	0.6
2612	3	10	0.6
2613	3	6	1
2614	3	6	1
2625	3	10	0.6
