edge degrees:
id	degree	max	normal
1	10	20	1
2	5	10	1
3	164	329	1
4	2	7	0.57
5	10	175	0.11
6	5	170	0.06
7	3	24	0.25
8	14	397	0.07
9	11	394	0.06
10	34	126	0.54
11	134	737	0.36
12	4	10	0.8
13	12	25	0.96
14	97	480	0.4
15	82	685	0.24
16	4	10	0.8
17	8	21	0.76
18	86	469	0.37
19	6	12	1
20	11	24	0.92
21	332	715	0.93
22	4	17	0.47
23	6	389	0.03
24	11	394	0.06
25	74	213	0.69
26	19	38	1
27	8	16	1
28	165	330	1
29	164	767	0.43
30	9	18	1
31	119	502	0.47
32	27	55	0.98
33	19	38	1
34	8	16	1
35	74	239	0.62
36	9	18	1
37	27	55	0.98
38	8	16	1
39	19	184	0.21
40	19	622	0.06
41	8	17	0.94
42	19	402	0.09
43	19	47	0.81
44	8	173	0.09
45	8	611	0.03
46	7	16	0.88
47	8	391	0.04
48	8	36	0.44
49	164	767	0.43
50	9	18	1
51	119	502	0.47
52	27	55	0.98
53	9	18	1
54	28	56	1
55	9	392	0.05
56	9	37	0.49
57	28	56	1
58	10	178	0.11
59	12	395	0.06
60	6	17	0.71
61	130	513	0.51
62	10	21	0.95
63	9	20	0.9
64	33	201	0.33
65	6	13	0.92
66	6	13	0.92
67	33	201	0.33
68	6	13	0.92
69	6	13	0.92
70	148	316	0.94
71	7	14	1
72	6	13	0.92
73	6	13	0.92
74	5	12	0.83
75	4	11	0.73
76	5	57	0.18
77	5	27	0.37
78	5	388	0.03
79	8	30	0.53
80	46	429	0.21
81	17	400	0.08
82	12	615	0.04
83	5	170	0.06
84	2	4	1
85	163	328	0.99
86	2	4	1
87	2	4	1
88	0	0	1
89	6	20	0.6
90	7	187	0.07
91	5	31	0.32
92	13	193	0.13
93	10	36	0.56
94	25	51	0.98
95	12	26	0.92
96	143	323	0.89
97	57	175	0.65
98	11	25	0.88
99	123	250	0.98
100	12	192	0.12
101	14	132	0.21
102	9	23	0.78
103	12	139	0.17
104	45	163	0.55
105	10	24	0.83
106	115	242	0.95
107	13	27	0.96
108	43	170	0.51
109	9	136	0.13
110	4	607	0.01
111	2	4	1
112	4	11	0.73
113	2	4	1
114	7	14	1
115	2	9	0.44
116	7	145	0.1
117	5	13	0.77
118	7	610	0.02
119	7	149	0.09
120	6	14	0.86
121	135	738	0.37
122	138	280	0.99
123	7	610	0.02
124	6	148	0.08
125	139	281	0.99
126	6	12	1
127	109	277	0.79
128	10	21	0.95
129	6	174	0.07
130	6	17	0.71
131	6	171	0.07
132	10	21	0.95
133	102	267	0.76
134	10	175	0.11
135	2	605	0.01
136	2	167	0.02
137	2	18	0.22
138	14	30	0.93
139	8	24	0.67
