edge degrees:
id	degree	max	normal
1	1	3	0.67
2	2	5	0.8
3	3	8	0.75
4	2	7	0.57
5	1	4	0.5
6	2	5	0.8
7	4	9	0.89
8	6	12	1
9	1	6	0.33
10	0	2	0
11	1	6	0.33
12	4	15	0.53
13	1	8	0.25
14	3	8	0.75
15	3	9	0.67
16	3	10	0.6
17	2	8	0.5
18	1	8	0.25
19	2	6	0.67
20	1	6	0.33
21	2	7	0.57
22	0	6	0
23	3	9	0.67
24	0	8	0
25	0	11	0
26	2	8	0.5
27	4	10	0.8
28	1	9	0.22
29	1	8	0.25
30	1	3	0.67
31	2	9	0.44
32	0	4	0
33	2	10	0.4
34	2	4	1
35	2	4	1
36	0	7	0
37	1	6	0.33
38	2	10	0.4
39	0	4	0
40	4	10	0.8
41	3	8	0.75
42	3	8	0.75
43	1	5	0.4
44	1	4	0.5
45	1	5	0.4
46	0	8	0
47	1	7	0.29
48	1	8	0.25
49	0	0	1
50	7	18	0.78
51	4	9	0.89
52	1	6	0.33
53	2	13	0.31
54	2	11	0.36
55	0	8	0
56	0	7	0
57	0	8	0
58	0	2	0
59	1	6	0.33
60	5	16	0.62
61	2	7	0.57
62	2	7	0.57
63	6	15	0.8
64	2	6	0.67
65	1	7	0.29
66	4	15	0.53
67	3	8	0.75
68	2	10	0.4
69	3	12	0.5
70	0	6	0
71	2	7	0.57
72	0	4	0
73	4	15	0.53
74	1	7	0.29
75	2	11	0.36
76	1	7	0.29
77	3	13	0.46
78	1	8	0.25
79	2	8	0.5
80	3	10	0.6
81	2	7	0.57
82	1	4	0.5
83	3	7	0.86
84	1	5	0.4
85	3	14	0.43
86	0	8	0
87	3	12	0.5
88	2	12	0.33
89	2	9	0.44
90	0	3	0
91	1	9	0.22
92	0	4	0
93	1	8	0.25
94	2	7	0.57
95	3	9	0.67
96	5	11	0.91
97	4	9	0.89
98	1	3	0.67
99	4	9	0.89
100	4	12	0.67
101	2	12	0.33
102	0	6	0
103	2	7	0.57
104	2	6	0.67
105	1	9	0.22
106	2	6	0.67
107	2	6	0.67
108	3	8	0.75
109	0	4	0
110	0	1	0
111	2	13	0.31
112	3	8	0.75
113	1	9	0.22
114	2	11	0.36
115	0	5	0
116	1	11	0.18
117	0	0	1
118	0	0	1
119	4	10	0.8
120	3	8	0.75
121	1	3	0.67
122	3	8	0.75
123	4	12	0.67
124	6	16	0.75
125	1	7	0.29
126	2	13	0.31
127	0	8	0
128	1	8	0.25
129	1	8	0.25
130	0	6	0
131	2	9	0.44
132	2	7	0.57
133	1	5	0.4
134	3	10	0.6
135	2	5	0.8
136	3	7	0.86
137	0	6	0
138	0	9	0
139	0	3	0
140	0	5	0
141	2	5	0.8
142	4	9	0.89
143	5	11	0.91
144	6	13	0.92
145	3	11	0.55
146	0	1	0
147	3	7	0.86
148	0	0	1
149	3	9	0.67
150	0	7	0
151	1	3	0.67
152	2	7	0.57
153	1	7	0.29
154	0	6	0
155	2	12	0.33
156	0	2	0
157	0	3	0
158	0	10	0
159	0	1	0
Average = 1.79
Average Normalized = 0.45
Average By Vertex = 4.6
Average Normalized By Vertex = 1.15
Average By Edge Density = 3389.53
Average Normalized By Edge Density = 846.89
