edge degrees:
id	degree	max	normal
37	1	6	0.33
38	1	6	0.33
39	1	2	1
59	1	2	1
60	1	2	1
61	1	6	0.33
69	0	5	0
81	1	6	0.33
82	1	6	0.33
83	6	13	0.92
84	1	6	0.33
85	1	6	0.33
86	1	3	0.67
125	0	7	0
155	0	0	1
158	0	0	1
168	0	5	0
252	0	4	0
268	1	8	0.25
269	1	7	0.29
270	1	4	0.5
271	1	4	0.5
272	1	2	1
277	3	13	0.46
278	2	5	0.8
279	2	12	0.33
280	2	5	0.8
281	2	4	1
282	2	12	0.33
283	1	4	0.5
284	1	11	0.18
302	0	1	0
407	1	2	1
408	1	2	1
409	7	14	1
449	4	9	0.89
452	3	7	0.86
453	3	12	0.5
454	2	7	0.57
455	2	11	0.36
456	2	7	0.57
457	2	6	0.67
458	1	10	0.2
459	1	5	0.4
482	2	7	0.57
483	5	14	0.71
484	3	7	0.86
485	2	7	0.57
486	2	7	0.57
487	2	11	0.36
502	1	2	1
504	1	2	1
506	1	5	0.4
635	5	12	0.83
636	5	12	0.83
637	5	10	1
638	5	12	0.83
639	5	12	0.83
641	1	5	0.4
642	1	6	0.33
643	5	10	1
644	5	15	0.67
645	6	13	0.92
646	6	13	0.92
647	5	10	1
648	5	15	0.67
649	5	12	0.83
650	5	11	0.91
651	5	12	0.83
652	5	10	1
653	5	15	0.67
654	5	12	0.83
655	5	11	0.91
656	5	12	0.83
657	5	10	1
674	1	11	0.18
676	1	5	0.4
677	0	10	0
687	2	12	0.33
688	0	3	0
739	2	4	1
740	2	4	1
741	2	4	1
742	2	4	1
743	2	4	1
744	2	4	1
745	1	10	0.2
794	0	6	0
862	0	0	1
863	1	8	0.25
864	1	7	0.29
865	1	4	0.5
866	2	9	0.44
867	2	4	1
868	2	9	0.44
869	2	4	1
870	2	4	1
871	3	10	0.6
930	2	9	0.44
931	2	8	0.5
932	2	9	0.44
934	0	7	0
935	0	10	0
945	3	8	0.75
946	1	4	0.5
947	1	6	0.33
948	2	5	0.8
949	2	7	0.57
950	2	5	0.8
951	2	7	0.57
952	2	4	1
974	3	7	0.86
975	3	8	0.75
976	4	13	0.62
977	1	5	0.4
978	3	8	0.75
979	3	7	0.86
980	3	8	0.75
981	3	12	0.5
982	0	5	0
993	1	5	0.4
999	4	8	1
1000	1	2	1
1003	1	5	0.4
1005	1	5	0.4
1006	1	5	0.4
1009	1	5	0.4
1046	0	2	0
1167	1	8	0.25
1170	1	8	0.25
1171	1	2	1
1174	3	10	0.6
1175	2	9	0.44
1177	5	10	1
1178	3	10	0.6
1179	2	9	0.44
1200	2	9	0.44
1201	1	4	0.5
1203	2	6	0.67
1204	5	12	0.83
1205	3	8	0.75
1207	3	8	0.75
1208	2	6	0.67
1209	2	9	0.44
1210	2	7	0.57
1336	0	5	0
1397	3	10	0.6
1398	3	8	0.75
1400	3	8	0.75
1401	3	8	0.75
1402	1	5	0.4
1404	1	5	0.4
1405	1	8	0.25
1406	1	7	0.29
1407	1	11	0.18
1408	1	6	0.33
1468	1	8	0.25
1469	1	7	0.29
1502	1	10	0.2
1503	1	2	1
1504	5	14	0.71
1580	0	5	0
1600	2	8	0.5
1601	0	3	0
1607	1	4	0.5
1608	1	8	0.25
1806	1	4	0.5
1807	1	5	0.4
1812	4	9	0.89
1813	4	13	0.62
1814	3	7	0.86
1815	3	8	0.75
1816	3	12	0.5
1817	3	7	0.86
1818	3	6	1
1819	3	8	0.75
1820	3	12	0.5
1821	2	6	0.67
1822	2	11	0.36
1823	2	7	0.57
1876	1	3	0.67
1877	3	8	0.75
1878	1	3	0.67
1879	1	6	0.33
1903	0	4	0
1908	0	4	0
1911	1	3	0.67
1913	1	2	1
1916	1	3	0.67
2013	0	5	0
2033	2	7	0.57
2034	2	7	0.57
2035	2	9	0.44
2185	2	12	0.33
2186	2	5	0.8
2187	2	12	0.33
2188	2	4	1
2189	2	5	0.8
2190	0	10	0
2220	1	10	0.2
2221	1	2	1
2222	1	10	0.2
2224	1	4	0.5
2225	1	6	0.33
2263	4	11	0.73
2264	4	8	1
2266	4	11	0.73
2267	4	8	1
2268	4	8	1
2270	4	11	0.73
2271	4	8	1
2272	4	8	1
2274	4	8	1
2275	4	11	0.73
2276	4	8	1
2277	4	8	1
2279	4	8	1
2280	4	11	0.73
2281	4	8	1
2289	3	8	0.75
2290	3	8	0.75
2291	3	8	0.75
2292	3	6	1
2293	3	8	0.75
2294	3	8	0.75
2295	3	6	1
2296	3	8	0.75
2297	3	6	1
2298	2	8	0.5
2299	2	5	0.8
2300	2	4	1
2301	2	8	0.5
2302	2	5	0.8
2526	1	8	0.25
2527	1	7	0.29
Average = 2.18
Average Normalized = 0.61
Average By Vertex = 4.17
Average Normalized By Vertex = 1.16
Average By Edge Density = 16378.89
Average Normalized By Edge Density = 4558.71
